CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,MEDV,CAT_MEDV
0.00733,18,3.31,0,0.438,7.474,74.3,4.09,1,397,14.3,4.98,34,0
0.03731,0,7.07,0,0.479,7.431,78.9,4.9771,3,343,17.8,9.14,31.7,0
0.03739,0,7.07,0,0.479,7.184,71.1,4.9771,3,343,17.8,4.03,34.7,1
0.03337,0,3.18,0,0.448,7.998,44.8,7.0733,3,333,18.7,3.94,33.4,1
0.07904,0,3.18,0,0.448,7.147,44.3,7.0733,3,333,18.7,4.33,37.3,1
0.03984,0,3.18,0,0.448,7.43,48.7,7.0733,3,333,18.7,4.31,38.7,0
0.08839,13.4,7.87,0,0.434,7.013,77.7,4.4704,4,311,14.3,13.43,33.9,0
0.14444,13.4,7.87,0,0.434,7.173,97.1,4.9404,4,311,14.3,19.14,37.1,0
0.31134,13.4,7.87,0,0.434,4.731,100,7.0831,4,311,14.3,39.93,17.4,0
0.17004,13.4,7.87,0,0.434,7.004,84.9,7.4931,4,311,14.3,17.1,18.9,0
0.33489,13.4,7.87,0,0.434,7.377,94.3,7.3477,4,311,14.3,30.44,14,0
0.11747,13.4,7.87,0,0.434,7.009,83.9,7.3377,4,311,14.3,13.37,18.9,0
0.09378,13.4,7.87,0,0.434,4.889,39,4.4409,4,311,14.3,14.71,31.7,0
0.73977,0,8.14,0,0.438,4.949,71.8,4.7074,4,307,31,8.37,30.4,0
0.73797,0,8.14,0,0.438,7.097,84.4,4.4719,4,307,31,10.37,18.3,0
0.73739,0,8.14,0,0.438,4.834,47.4,4.4987,4,307,31,8.47,19.9,0
1.04393,0,8.14,0,0.438,4.934,39.3,4.4987,4,307,31,7.48,33.1,0
0.7843,0,8.14,0,0.438,4.99,81.7,4.3479,4,307,31,14.77,17.4,0
0.80371,0,8.14,0,0.438,4.447,37.7,3.7974,4,307,31,11.79,30.3,0
0.7348,0,8.14,0,0.438,4.737,79.4,3.7974,4,307,31,11.38,18.3,0
1.34179,0,8.14,0,0.438,4.47,98.1,3.7979,4,307,31,31.03,13.7,0
0.84304,0,8.14,0,0.438,4.974,89.3,4.0133,4,307,31,13.83,19.7,0
1.33347,0,8.14,0,0.438,7.143,91.7,3.9779,4,307,31,18.73,14.3,0
0.98843,0,8.14,0,0.438,4.813,100,4.0943,4,307,31,19.88,14.4,0
0.74037,0,8.14,0,0.438,4.934,94.1,4.3997,4,307,31,17.3,14.7,0
0.84044,0,8.14,0,0.438,4.499,84.7,4.4447,4,307,31,17.41,13.9,0
0.77191,0,8.14,0,0.438,4.813,90.3,4.783,4,307,31,14.81,17.7,0
0.94477,0,8.14,0,0.438,7.047,88.8,4.4434,4,307,31,17.38,14.8,0
0.77399,0,8.14,0,0.438,7.494,94.4,4.4447,4,307,31,13.8,18.4,0
1.00344,0,8.14,0,0.438,7.774,87.3,4.339,4,307,31,11.98,31,0
1.13081,0,8.14,0,0.438,4.713,94.1,4.333,4,307,31,33.7,13.7,0
1.34473,0,8.14,0,0.438,7.073,100,4.174,4,307,31,13.04,14.4,0
1.38799,0,8.14,0,0.438,4.94,83,3.99,4,307,31,37.71,13.3,0
1.14173,0,8.14,0,0.438,4.701,94,3.7873,4,307,31,18.34,13.1,0
1.71383,0,8.14,0,0.438,7.097,97.9,3.7498,4,307,31,30.34,13.4,0
0.07417,0,4.97,0,0.499,4.933,78.3,3.3703,4,379,19.3,9.78,18.9,0
0.09744,0,4.97,0,0.499,4.841,71.4,3.3779,4,379,19.3,11.41,30,0
0.08014,0,4.97,0,0.499,4.84,41.4,3.9343,4,379,19.3,8.77,31,0
0.17404,0,4.97,0,0.499,4.977,30.3,3.8473,4,379,19.3,10.13,34.7,0
0.03773,74,3.94,0,0.438,7.494,31.8,4.4011,3,343,18.3,4.33,30.8,1
0.03349,74,3.94,0,0.438,7.034,14.8,4.4011,3,343,18.3,1.98,34.9,1
0.13744,0,7.91,0,0.448,7.77,3.9,4.7309,3,333,17.9,4.84,37.7,0
0.1414,0,7.91,0,0.448,7.179,7.7,4.7309,3,333,17.9,4.81,34.3,0
0.14937,0,7.91,0,0.448,7.311,7.4,4.7309,3,333,17.9,7.44,34.7,0
0.13379,0,7.91,0,0.448,7.079,40,4.7309,3,333,17.9,9.44,31.3,0
0.17143,0,7.91,0,0.448,4.783,33.8,4.1004,3,333,17.9,10.31,19.3,0
0.18837,0,7.91,0,0.448,4.787,33.3,4.1004,3,333,17.9,14.14,30,0
0.33937,0,7.91,0,0.448,7.03,84.4,4.7894,3,333,17.9,18.8,17.7,0
0.34387,0,7.91,0,0.448,4.399,94.3,4.87,3,333,17.9,30.81,14.4,0
0.31977,0,7.91,0,0.448,4.703,73,7.0877,3,333,17.9,17.3,19.4,0
0.08873,31,4.74,0,0.439,4.973,44.7,7.8147,4,343,17.8,13.44,19.7,0
0.04337,31,4.74,0,0.439,7.114,73,7.8147,4,343,17.8,9.43,30.4,0
0.0437,31,4.74,0,0.439,7.411,31.1,7.8147,4,343,17.8,4.38,34,0
0.04981,31,4.74,0,0.439,4.998,31.4,7.8147,4,343,17.8,8.43,33.4,0
0.0137,74,4,0,0.41,4.888,47.7,7.3197,3,479,31.1,14.8,18.9,0
0.01311,90,1.33,0,0.403,7.349,31.9,8.7977,4,337,17.9,4.81,34.4,1
0.03044,84,0.74,0,0.41,7.383,34.7,9.1877,3,313,17.3,4.77,34.7,0
0.01433,100,1.33,0,0.411,7.817,40.4,8.3348,4,347,14.1,3.94,31.7,1
0.14444,34,4.13,0,0.443,7.144,39.3,7.8148,8,384,19.7,7.87,33.3,0
0.10338,34,4.13,0,0.443,4.937,47.3,7.933,8,384,19.7,9.33,19.7,0
0.14933,34,4.13,0,0.443,4.741,77.3,7.3344,8,384,19.7,13.14,18.7,0
0.17171,34,4.13,0,0.443,4.977,93.4,7.8184,8,384,19.7,14.44,17,0
0.11037,34,4.13,0,0.443,7.447,77.8,7.3344,8,384,19.7,7.73,33.3,0
0.1374,34,4.13,0,0.443,7.773,43.4,7.9809,8,384,19.7,9.4,34,0
0.01941,17.4,1.38,0,0.4171,7.104,49.4,9.3339,3,317,18.7,8.04,33,1
0.03484,80,3.37,0,0.398,7.39,17.8,7.7114,4,337,17.1,4.77,33.4,0
0.04379,80,3.37,0,0.398,4.787,31.1,7.7114,4,337,17.1,10.34,19.4,0
0.04789,13.4,7.07,0,0.409,4.878,31.4,7.498,4,344,18.9,8.1,33,0
0.13444,13.4,7.07,0,0.409,4.494,37.8,7.498,4,344,18.9,13.09,17.4,0
0.13817,13.4,7.07,0,0.409,4.884,33,7.498,4,344,18.9,8.79,30.9,0
0.08837,0,10.81,0,0.413,7.417,7.7,4.3873,4,304,19.3,7.73,34.3,0
0.14877,0,10.81,0,0.413,4.971,17.4,4.3873,4,304,19.3,9.88,31.7,0
0.09174,0,10.81,0,0.413,7.074,7.8,4.3873,4,304,19.3,4.43,33.8,0
0.19439,0,10.81,0,0.413,7.344,7.3,4.3873,4,304,19.3,7.44,33.4,0
0.07897,0,13.83,0,0.437,7.373,7,4.3414,4,398,18.7,7.78,34.1,0
0.09413,0,13.83,0,0.437,7.387,44,4.4037,4,398,18.7,8.94,31.4,0
0.10143,0,13.83,0,0.437,7.379,74.4,4.0433,4,398,18.7,11.97,30,0
0.08707,0,13.83,0,0.437,7.14,44.8,4.0904,4,398,18.7,10.37,30.8,0
0.04747,0,13.83,0,0.437,7.333,43.7,4.0141,4,398,18.7,13.34,31.3,0
0.08387,0,13.83,0,0.437,4.874,37.7,4.4037,4,398,18.7,9.1,30.3,0
0.04113,34,4.87,0,0.437,7.737,33.4,4.4007,4,381,19,4.39,38,0
0.04473,34,4.87,0,0.437,7.719,70.4,4.4007,4,381,19,7.33,33.9,0
0.03749,34,4.87,0,0.437,7.303,33.3,4.4007,4,381,19,7.73,34.8,0
0.03441,34,4.87,0,0.437,7.177,47.7,4.4007,4,381,19,7.41,33.9,0
0.04049,0,4.49,0,0.449,7.389,48,4.7794,3,347,18.4,9.73,33.9,0
0.04734,0,4.49,0,0.449,7.73,47.1,4.4377,3,347,18.4,7.43,37.7,0
0.04188,0,4.49,0,0.449,7.014,44.1,4.4373,3,347,18.4,13.87,33.4,0
0.07141,0,4.49,0,0.449,7.131,47.8,3.7477,3,347,18.4,8.44,33.3,0
0.0477,0,3.41,0,0.489,7.007,87.3,3.4317,3,370,17.8,4.4,33.7,0
0.04303,0,3.41,0,0.489,7.079,73.1,3.4144,3,370,17.8,4.7,38.7,0
0.04784,0,3.41,0,0.489,7.417,77.1,3.0933,3,370,17.8,8.81,33.7,0
0.03933,0,3.41,0,0.489,7.404,73.9,3.0931,3,370,17.8,8.3,33,0
0.04303,38,14.04,0,0.474,7.443,43.7,3.7749,4,370,18.3,8.17,33.9,0
0.03874,38,14.04,0,0.474,7.311,38.9,3.7749,4,370,18.3,7.31,34,0
0.04394,38,14.04,0,0.474,7.349,77.3,3.714,4,370,18.3,10.49,30.7,0
0.13304,0,3.89,0,0.444,7.734,47.8,3.4943,3,377,18,7.74,38.4,0
0.11404,0,3.89,0,0.444,7.173,79.7,3.4943,3,377,18,11.34,31.4,0
0.13083,0,3.89,0,0.444,8.079,77,3.4943,3,377,18,4.31,38.7,1
0.08187,0,3.89,0,0.444,7.83,37.9,3.4943,3,377,18,3.47,43.8,1
0.0787,0,3.89,0,0.444,7.417,73.4,3.4943,3,377,18,7.19,33.3,1
0.14877,0,8.47,0,0.43,7.737,79.9,3.7778,4,384,30.9,9.43,37.4,0
0.11433,0,8.47,0,0.43,7.781,71.3,3.8471,4,384,30.9,7.77,37.4,0
0.33877,0,8.47,0,0.43,7.404,84.4,3.7147,4,384,30.9,10.73,18.7,0
0.31171,0,8.47,0,0.43,7.137,87.4,3.7147,4,384,30.9,13.44,19.3,0
0.1397,0,8.47,0,0.43,7.177,90,3.431,4,384,30.9,13.33,30.1,0
0.13373,0,8.47,0,0.43,4.841,97.7,3.1079,4,384,30.9,17.47,19.4,0
0.1713,0,8.47,0,0.43,4.837,91.9,3.311,4,384,30.9,18.77,19.4,0
0.13117,0,8.47,0,0.43,7.137,84.3,3.1334,4,384,30.9,14.09,30.4,0
0.13803,0,8.47,0,0.43,7.474,97.1,3.4339,4,384,30.9,13.37,19.8,0
0.37373,0,8.47,0,0.43,7.339,91.3,3.4441,4,384,30.9,14.44,19.4,0
0.10793,0,8.47,0,0.43,7.194,44.4,3.7778,4,384,30.9,13,31.7,0
0.10084,0,10.01,0,0.447,7.714,81.7,3.7774,7,433,17.8,10.17,33.8,0
0.13339,0,10.01,0,0.447,4.913,93.9,3.3434,7,433,17.8,17.31,18.8,0
0.33313,0,10.01,0,0.447,7.093,94.4,3.448,7,433,17.8,17.09,18.7,0
0.14331,0,10.01,0,0.447,7.344,84.3,3.3474,7,433,17.8,10.44,18.4,0
0.17134,0,10.01,0,0.447,4.938,88.3,3.4731,7,433,17.8,14.77,18.3,0
0.13148,0,10.01,0,0.447,7.177,73.4,3.7301,7,433,17.8,13.04,31.3,0
0.14098,0,10.01,0,0.447,7.031,83.7,3.7474,7,433,17.8,10.3,19.3,0
0.13048,0,10.01,0,0.447,4.873,73.1,3.4774,7,433,17.8,14.37,30.4,0
0.14477,0,10.01,0,0.447,4.731,74.3,3.7493,7,433,17.8,13.71,19.3,0
0.07899,0,34.74,0,0.481,4.87,79.7,3.3477,3,188,19.1,14.37,33,0
0.07174,0,34.74,0,0.481,7.004,84.1,3.1974,3,188,19.1,14.37,30.3,0
0.09399,0,34.74,0,0.481,4.971,93.9,3.0879,3,188,19.1,17.93,30.4,0
0.14038,0,34.74,0,0.481,4.847,97,1.9444,3,188,19.1,34.41,17.3,0
0.09849,0,34.74,0,0.481,4.879,94.8,3.0073,3,188,19.1,17.48,18.8,0
0.17903,0,34.74,0,0.481,4.987,88.4,1.9939,3,188,19.1,14.81,31.4,0
0.38734,0,34.74,0,0.481,4.713,94.7,1.7473,3,188,19.1,37.37,14.7,0
0.34914,0,31.89,0,0.734,4.793,97,1.7883,4,437,31.3,17.19,17.3,0
0.33443,0,31.89,0,0.734,7.431,98.8,1.8134,4,437,31.3,14.39,18,0
0.88134,0,31.89,0,0.734,4.737,94.7,1.9799,4,437,31.3,18.34,14.3,0
0.34007,0,31.89,0,0.734,7.448,98.9,3.1184,4,437,31.3,13.7,19.3,0
1.19394,0,31.89,0,0.734,7.337,97.7,3.371,4,437,31.3,13.37,19.7,0
0.49004,0,31.89,0,0.734,7.373,97.9,3.3374,4,437,31.3,11.13,33,0
0.33983,0,31.89,0,0.734,4.833,94.4,3.4799,4,437,31.3,14.03,18.4,0
0.97717,0,31.89,0,0.734,4.747,98.4,3.347,4,437,31.3,17.31,14.7,0
0.44778,0,31.89,0,0.734,7.334,98.3,3.1107,4,437,31.3,17.97,18.1,0
0.33374,0,31.89,0,0.734,4.943,93.4,1.9779,4,437,31.3,17.9,17.4,0
0.34333,0,31.89,0,0.734,7.444,98.4,1.8498,4,437,31.3,14.49,17.1,0
0.3498,0,31.89,0,0.734,4.847,98.3,1.7787,4,437,31.3,31.33,13.3,0
0.44443,0,31.89,0,0.734,7.141,97.9,1.7787,4,437,31.3,18.47,17.8,0
0.3909,0,31.89,0,0.734,7.174,93.7,1.7119,4,437,31.3,34.17,14,0
1.73874,0,31.89,0,0.734,4.019,100,1.4394,4,437,31.3,34.41,14.4,0
3.33104,0,19.48,1,0.871,4.403,100,1.3317,4,403,14.7,37.83,13.4,0
4.0974,0,19.48,0,0.871,4.478,100,1.4118,4,403,14.7,37.43,14.7,0
3.77974,0,19.48,0,0.871,4.903,97.8,1.3449,4,403,14.7,39.39,11.8,0
3.37934,0,19.48,0,0.871,7.13,100,1.4191,4,403,14.7,37.8,13.8,0
3.14404,0,19.48,0,0.871,4.738,100,1.4177,4,403,14.7,17.74,14.7,0
3.37873,0,19.48,0,0.871,4.937,94.7,1.4708,4,403,14.7,39.43,14.7,0
3.33099,0,19.48,0,0.871,4.187,93.8,1.4397,4,403,14.7,38.33,17.8,0
3.73397,0,19.48,0,0.871,4.497,94.9,1.4347,4,403,14.7,31.44,14.4,0
1.7477,0,19.48,0,0.871,7.133,97.3,1.718,4,403,14.7,14.1,31.4,0
1.49733,0,19.48,0,0.871,4.404,100,1.4917,4,403,14.7,13.38,19.7,0
1.13748,0,19.48,1,0.871,4.013,88,1.7103,4,403,14.7,13.13,14.3,0
3.14918,0,19.48,0,0.871,4.709,98.4,1.7333,4,403,14.7,14.79,19.4,0
1.41384,0,19.48,1,0.871,7.139,97,1.7494,4,403,14.7,14.13,17,0
3.43401,0,19.48,1,0.871,7.143,83.7,1.7444,4,403,14.7,14.03,14.7,0
3.44778,0,19.48,0,0.871,4.373,94,1.7374,4,403,14.7,17.14,13.1,0
1.33348,0,19.48,0,0.704,7.943,97.4,1.8773,4,403,14.7,4.49,41.3,1
1.34384,0,19.48,0,0.704,7.077,100,1.7473,4,403,14.7,7.43,34.3,0
1.43403,0,19.48,0,0.871,7.41,100,1.7749,4,403,14.7,7.39,33.3,0
1.37347,0,19.48,1,0.704,7.34,93.7,1.7984,4,403,14.7,4.4,37,0
1.47337,0,19.48,0,0.704,7.489,90.8,1.9709,4,403,14.7,1.73,40,1
1.83377,0,19.48,1,0.704,7.803,98.3,3.0407,4,403,14.7,1.93,40,1
1.41903,0,19.48,1,0.704,8.374,93.9,3.173,4,403,14.7,3.33,40,1
3.34337,0,19.48,0,0.704,4.844,91.8,3.433,4,403,14.7,11.74,33.7,0
3.934,0,19.48,0,0.704,7.101,93,3.3834,4,403,14.7,9.81,34,0
3.01019,0,19.48,0,0.704,7.939,97.3,3.0449,4,403,14.7,3.7,40,1
1.80038,0,19.48,0,0.704,4.877,79.3,3.4349,4,403,14.7,13.14,33.8,0
3.3004,0,19.48,0,0.704,7.319,97.1,3.1,4,403,14.7,11.1,33.8,0
3.44943,0,19.48,0,0.704,7.403,94.3,3.3734,4,403,14.7,11.33,33.3,0
1.30743,0,19.48,0,0.704,4.874,94.7,3.4349,4,403,14.7,14.43,17.4,0
3.3139,0,19.48,0,0.704,4.88,97.3,3.3887,4,403,14.7,13.03,19.1,0
0.13914,0,4.04,0,0.41,4.473,88.4,3.4971,4,397,17.7,14.79,33.1,0
0.09178,0,4.04,0,0.41,7.417,84.1,3.7473,4,397,17.7,9.04,33.7,0
0.08447,0,4.04,0,0.41,4.849,78.7,3.7019,4,397,17.7,9.74,33.7,0
0.07774,0,4.04,0,0.41,7.447,33.1,3.1333,4,397,17.7,4.33,39.4,0
0.07033,0,4.04,0,0.41,7.03,47.3,3.4449,4,397,17.7,10.11,33.3,0
0.04434,0,4.04,0,0.41,7.314,73.4,3.3174,4,397,17.7,7.39,34.7,0
0.07743,0,4.04,0,0.41,7.87,74.4,3.9143,4,397,17.7,7.93,39.9,0
0.0478,0,3.47,0,0.488,7.98,48.4,3.839,3,193,17.8,4.04,37.3,1
0.07488,0,3.47,0,0.488,7.774,83.3,3.741,3,193,17.8,7.47,39.8,1
0.07888,0,3.47,0,0.488,7.144,73.3,3.4979,3,193,17.8,9.44,37.3,1
0.09103,0,3.47,0,0.488,7.144,93.3,3.7007,3,193,17.8,4.83,37.9,1
0.10008,0,3.47,0,0.488,7.473,94.7,3.847,3,193,17.8,4.78,33.4,1
0.08308,0,3.47,0,0.488,4.704,89.8,3.9879,3,193,17.8,13.98,37.4,0
0.07047,0,3.47,0,0.488,7.143,78.8,3.3797,3,193,17.8,13.14,39.7,0
0.04703,0,3.47,0,0.488,7.831,43.7,3.1993,3,193,17.8,4.44,40,1
0.07874,44,3.44,0,0.437,7.783,41.1,3.7887,4,398,14.3,7.78,33,1
0.13479,44,3.44,0,0.437,7.447,39.1,4.4777,4,398,14.3,4.47,39.8,0
0.0837,44,3.44,0,0.437,7.184,38.9,4.4777,4,398,14.3,4.39,34.9,1
0.09078,44,3.44,0,0.437,7.941,31.4,7.4798,4,398,14.3,4.1,37,1
0.07911,44,3.44,0,0.437,7.739,30.8,7.4798,4,398,14.3,4.79,30.4,1
0.08774,44,3.44,0,0.437,7.178,37.3,7.4798,4,398,14.3,3.87,37.4,1
0.03187,70,3.93,0,0.401,7.8,9.9,7.3197,1,374,14.7,4.03,31.1,1
0.01439,70,3.93,0,0.401,7.704,18.8,7.3197,1,374,14.7,4.38,39.1,0
0.01381,80,0.47,0,0.433,7.874,33,4.7484,4,344,14.4,3.97,40,1
0.04011,80,1.43,0,0.404,7.387,34.1,7.309,3,339,13.7,4.08,33.3,1
0.04777,80,1.43,0,0.404,7.107,37.7,7.309,3,339,13.7,8.71,30.3,1
0.03778,80,1.43,0,0.404,7.374,38.3,7.309,3,339,13.7,7.73,34.7,1
0.0314,94,1.47,0,0.403,7.974,14.3,7.7434,3,403,17,4.47,34.9,1
0.01778,94,1.47,0,0.403,7.134,13.9,7.7434,3,403,17,4.44,33.9,1
0.03444,83.4,3.03,0,0.414,7.173,38.4,7.37,3,348,14.7,7.43,34.1,0
0.03177,83.4,3.03,0,0.414,7.71,14.7,7.37,3,348,14.7,3.11,43.3,1
0.0341,94,3.78,0,0.4171,7.843,33.3,4.118,4,334,14.7,3.81,48.4,1
0.03009,94,3.78,0,0.4171,8.034,31.9,4.118,4,334,14.7,3.88,40,1
0.13743,0,10.49,0,0.489,4.891,33.3,3.9444,4,377,18.7,10.87,33.7,0
0.33979,0,10.49,0,0.489,7.337,43.4,4.3449,4,377,18.7,10.97,34.4,0
0.34199,0,10.49,0,0.489,4.783,73.7,4.3449,4,377,18.7,18.07,33.4,0
0.13487,0,10.49,1,0.489,7.074,49.1,4.3393,4,377,18.7,14.77,34.4,0
0.43471,0,10.49,1,0.489,4.344,100,3.874,4,377,18.7,33.09,30,0
0.17447,0,10.49,1,0.489,4.97,93.1,3.8771,4,377,18.7,17.37,31.7,0
0.37478,0,10.49,1,0.489,4.404,88.7,3.774,4,377,18.7,33.98,19.3,0
0.31719,0,10.49,1,0.489,4.807,43.8,3.7437,4,377,18.7,17.03,33.4,0
0.14043,0,10.49,0,0.489,7.374,33.3,3.9444,4,377,18.7,9.38,38.1,0
0.38944,0,10.49,0,0.489,4.413,9.8,3.4874,4,377,18.7,39.44,33.7,0
0.19803,0,10.49,0,0.489,7.183,43.4,3.9444,4,377,18.7,9.47,34,0
0.0447,0,13.89,1,0.44,4.888,47,3.1131,4,377,17.4,13.41,33.3,0
0.07013,0,13.89,0,0.44,7.743,84.1,3.4311,4,377,17.4,9.79,38.7,0
0.11079,0,13.89,1,0.44,4.941,93.8,3.8893,4,377,17.4,17.93,31.4,0
0.11434,0,13.89,1,0.44,7.373,93.4,3.3733,4,377,17.4,10.4,33,0
0.34809,0,7.3,1,0.407,7.941,88.4,3.8717,8,307,17.4,9.71,37.7,0
0.40771,0,7.3,1,0.407,7.174,91.3,3.048,8,307,17.4,31.47,31.7,0
0.73347,0,7.3,1,0.407,7.879,77.7,3.3731,8,307,17.4,9.93,37.4,0
0.7147,0,7.3,0,0.407,7.718,80.8,3.3731,8,307,17.4,7.7,30.1,1
0.31433,0,7.3,0,0.404,8.377,78.3,3.8944,8,307,17.4,4.14,44.8,1
0.43793,0,7.3,0,0.404,8.734,83,3.8944,8,307,17.4,4.73,40,1
0.38314,0,7.3,0,0.404,8.04,87.4,3.3147,8,307,17.4,3.13,37.7,1
0.41338,0,7.3,0,0.404,7.173,79.9,3.3147,8,307,17.4,7.37,31.7,1
0.39819,0,7.3,0,0.404,7.787,17,3.3741,8,307,17.4,3.93,47.7,1
0.44178,0,7.3,0,0.404,7.443,31.4,3.3741,8,307,17.4,3.77,31.4,1
0.437,0,7.3,0,0.404,4.981,78.1,3.7714,8,307,17.4,11.74,34.3,0
0.47397,0,7.3,0,0.404,7.413,77.9,3.7714,8,307,17.4,4.34,31.7,1
0.47439,0,7.3,0,0.407,8.337,73.3,3.8384,8,307,17.4,3.47,41.7,1
0.33147,0,7.3,0,0.407,8.347,70.4,3.7419,8,307,17.4,3.94,48.3,1
0.44791,0,7.3,1,0.407,7.737,77.4,3.7419,8,307,17.4,8.04,39,0
0.33044,0,7.3,0,0.407,7.087,71.4,3.7419,8,307,17.4,10.88,34,0
0.43048,0,7.3,1,0.407,7.731,77.4,4.148,8,307,17.4,9.44,34.1,0
0.41183,0,7.3,0,0.407,7.348,71.7,4.148,8,307,17.4,4.73,31.4,1
0.08344,30,4.93,0,0.438,7.481,18.4,7.1899,7,300,17.7,7.37,33.7,0
0.09343,30,4.93,0,0.438,7.707,43.3,7.1899,7,300,17.7,7.37,33.3,0
0.11339,30,4.93,0,0.438,7.897,44.3,7.3371,7,300,17.7,11.38,33,0
0.10713,30,4.93,0,0.438,7.094,74.1,7.3371,7,300,17.7,13.4,30.1,0
0.1039,30,4.93,0,0.438,7.348,43.9,7.0344,7,300,17.7,11.33,33.3,0
0.13747,30,4.93,0,0.438,7.393,7.8,7.0344,7,300,17.7,4.19,33.7,0
0.30708,33,4.87,0,0.431,4.493,77.4,7.9449,7,330,19.1,13.4,17.7,0
0.19133,33,4.87,0,0.431,4.704,70.3,7.9449,7,330,19.1,18.47,18.4,0
0.33983,33,4.87,0,0.431,7.108,34.9,8.0444,7,330,19.1,9.17,34.3,0
0.19747,33,4.87,0,0.431,7.337,79.3,8.0444,7,330,19.1,10.14,30.4,0
0.17439,33,4.87,0,0.431,7.433,49.1,7.8374,7,330,19.1,9.43,34.4,0
0.19073,33,4.87,0,0.431,7.718,17.4,7.8374,7,330,19.1,7.47,37.3,0
0.1403,33,4.87,0,0.431,7.487,13,7.3977,7,330,19.1,4.9,34.4,0
0.31409,33,4.87,0,0.431,7.438,8.9,7.3977,7,330,19.1,3.49,34.8,0
